path	title_key	reason	bytes	lines
ROOT_docs/import/PHASE_J_GITHUB_IMPORT_PLAN.md	incremental strategy	very small document; may be stub or obsolete	487	10
ROOT_docs/phase_i_trim_cull_0.9.10kc/referenced_h2_high_native_sharding/checksums/SHA256SUMS.txt	sha256sums	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	544	4
ROOT_docs/phase_i_trim_cull_0.9.10kc/referenced_h2_high_native_sharding/docs/PHASE_H2_HIGH_NATIVE_SHARDED_PAYLOAD.md	phase h2 high native art payload sharding	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	1183	29
ROOT_docs/shardmining/generated_subsystems/00_core_shell_state.txt	00 core shell state	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	444201	7128
ROOT_docs/shardmining/generated_subsystems/01_startup_lifecycle_audit.txt	01 startup lifecycle audit	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	390857	6841
ROOT_docs/shardmining/generated_subsystems/02_render_surfaces.txt	02 render surfaces	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	164218	3209
ROOT_docs/shardmining/generated_subsystems/03_input_scroll_navigation.txt	03 input scroll navigation	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	13323	328
ROOT_docs/shardmining/generated_subsystems/04_panel_buttons_commands.txt	04 panel buttons commands	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	10108	275
ROOT_docs/shardmining/generated_subsystems/05_inventory_items_containers.txt	05 inventory items containers	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	129966	2622
ROOT_docs/shardmining/generated_subsystems/06_interaction_fixtures_machines.txt	06 interaction fixtures machines	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	61249	1174
ROOT_docs/shardmining/generated_subsystems/07_world_profile_generation.txt	07 world profile generation	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	125489	2992
ROOT_docs/shardmining/generated_subsystems/08_combat_entities_simulation.txt	08 combat entities simulation	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	97602	2313
ROOT_docs/shardmining/generated_subsystems/09_save_profile_persistence.txt	09 save profile persistence	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	7000	207
ROOT_docs/shardmining/generated_subsystems/10_options_runtime_controls.txt	10 options runtime controls	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	12598	356
ROOT_docs/shardmining/generated_subsystems/99_unassigned_fragments.txt	99 unassigned fragments	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	174108	5228
ROOT_docs/shardmining/generated_subsystems/MANIFEST.md	gamepanel shard subsystem extraction manifest	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	1440	16
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard1.txt	gamepanel shard1	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	26918	492
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard3.txt	gamepanel shard3	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	75449	999
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard4.txt	gamepanel shard4	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	215524	3646
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard5.txt	gamepanel shard5	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	300874	4486
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard6.txt	gamepanel shard6	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	410885	6432
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard7.txt	gamepanel shard7	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	178179	2567
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard8.txt	gamepanel shard8	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	87352	1428
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard1.txt	gamepanel shard1	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	26918	492
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard3.txt	gamepanel shard3	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	75449	999
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard4.txt	gamepanel shard4	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	215524	3646
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard5.txt	gamepanel shard5	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	300874	4486
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard6.txt	gamepanel shard6	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	410885	6432
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard7.txt	gamepanel shard7	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	178179	2567
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard8.txt	gamepanel shard8	path/name matches generated, retired, shard, smoke, diagnostic, archive, or duplicate hint	87352	1428
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard1.txt	gamepanel shard1	duplicate title group size 2	26918	492
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard1.txt	gamepanel shard1	duplicate title group size 2	26918	492
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard2.txt	gamepanel shard2	duplicate title group size 2	93815	1119
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard2.txt	gamepanel shard2	duplicate title group size 2	93815	1119
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard3.txt	gamepanel shard3	duplicate title group size 2	75449	999
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard3.txt	gamepanel shard3	duplicate title group size 2	75449	999
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard4.txt	gamepanel shard4	duplicate title group size 2	215524	3646
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard4.txt	gamepanel shard4	duplicate title group size 2	215524	3646
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard5.txt	gamepanel shard5	duplicate title group size 2	300874	4486
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard5.txt	gamepanel shard5	duplicate title group size 2	300874	4486
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard6.txt	gamepanel shard6	duplicate title group size 2	410885	6432
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard6.txt	gamepanel shard6	duplicate title group size 2	410885	6432
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard7.txt	gamepanel shard7	duplicate title group size 2	178179	2567
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard7.txt	gamepanel shard7	duplicate title group size 2	178179	2567
ROOT_docs/shardmining/generated_subsystems/_backups/20260601_131932/gamepanel-shard8.txt	gamepanel shard8	duplicate title group size 2	87352	1428
ROOT_docs/shardmining/generated_subsystems/_retired_shards/20260601_131932/gamepanel-shard8.txt	gamepanel shard8	duplicate title group size 2	87352	1428
